event_id,index,review_period,cadence,announcement_date,effective_date,date_precision,event_type,ticker,source_name,source_url,retrieval_date,verification_status,notes
PA-RC-0001,LQ45,2022-H2,semiannual,2022-07-27,2022-08-01,day,ADD,ARTO,kompas.com 2022/07/27/063500726,https://money.kompas.com/read/2022/07/27/063500726/simak-daftar-saham-lq45-dan-idx30-periode-agustus-2022-januari-2023?page=all,2026-07-17,SECONDARY_SINGLE,IDX80 not covered by source (gap). LQ45/IDX30 corroborated by kontan insight (Aug2022-Jan2023).
PA-RC-0002,LQ45,2022-H2,semiannual,2022-07-27,2022-08-01,day,ADD,BRIS,kompas.com 2022/07/27/063500726,https://money.kompas.com/read/2022/07/27/063500726/simak-daftar-saham-lq45-dan-idx30-periode-agustus-2022-januari-2023?page=all,2026-07-17,SECONDARY_SINGLE,IDX80 not covered by source (gap). LQ45/IDX30 corroborated by kontan insight (Aug2022-Jan2023).
PA-RC-0003,LQ45,2022-H2,semiannual,2022-07-27,2022-08-01,day,ADD,INDY,kompas.com 2022/07/27/063500726,https://money.kompas.com/read/2022/07/27/063500726/simak-daftar-saham-lq45-dan-idx30-periode-agustus-2022-januari-2023?page=all,2026-07-17,SECONDARY_SINGLE,IDX80 not covered by source (gap). LQ45/IDX30 corroborated by kontan insight (Aug2022-Jan2023).
PA-RC-0004,LQ45,2022-H2,semiannual,2022-07-27,2022-08-01,day,DELETE,GGRM,kompas.com 2022/07/27/063500726,https://money.kompas.com/read/2022/07/27/063500726/simak-daftar-saham-lq45-dan-idx30-periode-agustus-2022-januari-2023?page=all,2026-07-17,SECONDARY_SINGLE,IDX80 not covered by source (gap). LQ45/IDX30 corroborated by kontan insight (Aug2022-Jan2023).
PA-RC-0005,LQ45,2022-H2,semiannual,2022-07-27,2022-08-01,day,DELETE,PTPP,kompas.com 2022/07/27/063500726,https://money.kompas.com/read/2022/07/27/063500726/simak-daftar-saham-lq45-dan-idx30-periode-agustus-2022-januari-2023?page=all,2026-07-17,SECONDARY_SINGLE,IDX80 not covered by source (gap). LQ45/IDX30 corroborated by kontan insight (Aug2022-Jan2023).
PA-RC-0006,LQ45,2022-H2,semiannual,2022-07-27,2022-08-01,day,DELETE,TKIM,kompas.com 2022/07/27/063500726,https://money.kompas.com/read/2022/07/27/063500726/simak-daftar-saham-lq45-dan-idx30-periode-agustus-2022-januari-2023?page=all,2026-07-17,SECONDARY_SINGLE,IDX80 not covered by source (gap). LQ45/IDX30 corroborated by kontan insight (Aug2022-Jan2023).
PA-RC-0007,IDX30,2022-H2,semiannual,2022-07-27,2022-08-01,day,ADD,ARTO,kompas.com 2022/07/27/063500726,https://money.kompas.com/read/2022/07/27/063500726/simak-daftar-saham-lq45-dan-idx30-periode-agustus-2022-januari-2023?page=all,2026-07-17,SECONDARY_SINGLE,IDX80 not covered by source (gap). LQ45/IDX30 corroborated by kontan insight (Aug2022-Jan2023).
PA-RC-0008,IDX30,2022-H2,semiannual,2022-07-27,2022-08-01,day,ADD,HRUM,kompas.com 2022/07/27/063500726,https://money.kompas.com/read/2022/07/27/063500726/simak-daftar-saham-lq45-dan-idx30-periode-agustus-2022-januari-2023?page=all,2026-07-17,SECONDARY_SINGLE,IDX80 not covered by source (gap). LQ45/IDX30 corroborated by kontan insight (Aug2022-Jan2023).
PA-RC-0009,IDX30,2022-H2,semiannual,2022-07-27,2022-08-01,day,ADD,ITMG,kompas.com 2022/07/27/063500726,https://money.kompas.com/read/2022/07/27/063500726/simak-daftar-saham-lq45-dan-idx30-periode-agustus-2022-januari-2023?page=all,2026-07-17,SECONDARY_SINGLE,IDX80 not covered by source (gap). LQ45/IDX30 corroborated by kontan insight (Aug2022-Jan2023).
PA-RC-0010,IDX30,2022-H2,semiannual,2022-07-27,2022-08-01,day,DELETE,BBTN,kompas.com 2022/07/27/063500726,https://money.kompas.com/read/2022/07/27/063500726/simak-daftar-saham-lq45-dan-idx30-periode-agustus-2022-januari-2023?page=all,2026-07-17,SECONDARY_SINGLE,IDX80 not covered by source (gap). LQ45/IDX30 corroborated by kontan insight (Aug2022-Jan2023).
PA-RC-0011,IDX30,2022-H2,semiannual,2022-07-27,2022-08-01,day,DELETE,EXCL,kompas.com 2022/07/27/063500726,https://money.kompas.com/read/2022/07/27/063500726/simak-daftar-saham-lq45-dan-idx30-periode-agustus-2022-januari-2023?page=all,2026-07-17,SECONDARY_SINGLE,IDX80 not covered by source (gap). LQ45/IDX30 corroborated by kontan insight (Aug2022-Jan2023).
PA-RC-0012,IDX30,2022-H2,semiannual,2022-07-27,2022-08-01,day,DELETE,MIKA,kompas.com 2022/07/27/063500726,https://money.kompas.com/read/2022/07/27/063500726/simak-daftar-saham-lq45-dan-idx30-periode-agustus-2022-januari-2023?page=all,2026-07-17,SECONDARY_SINGLE,IDX80 not covered by source (gap). LQ45/IDX30 corroborated by kontan insight (Aug2022-Jan2023).
